replicate,cycle,fluorescence
0,0,146.33175493859136
0,1,225.54021852268755
0,2,354.69527729586133
0,3,609.6176385167432
0,4,1081.507118314789
0,5,1941.4018303708215
0,6,3533.981300597832
0,7,6439.332758138226
0,8,11869.93173279183
0,9,21932.86402374315
0,10,40461.7934458611
0,11,74780.6113865204
0,12,138123.9529365714
0,13,255223.25272656902
0,14,471588.4620453108
0,15,870849.5787761981
0,16,1605603.0680660196
0,17,2951472.142075082
0,18,5391582.963662792
0,19,9739827.052054016
0,20,17236140.859435678
0,21,29402732.55976203
0,22,47119387.7752077
0,23,68395046.53286867
0,24,86856521.16727206
0,25,96614725.83498265
0,26,99408552.39320885
0,27,99910987.69974728
0,28,99987075.57278815
0,29,99998173.6494047
0,30,99999716.504024
0,31,99999979.38232248
0,32,100000036.79833794
0,33,100000052.17464979
0,34,100000040.23283216
0,35,100000055.3759836
1,0,138.40864122216956
1,1,218.48897394755215
1,2,367.2893066443588
1,3,632.0507377284248
1,4,1126.5995226263897
1,5,2029.315726342458
1,6,3729.6779903879046
1,7,6864.397779361756
1,8,12581.681185732825
1,9,23204.807643615793
1,10,42834.17196573708
1,11,79158.44531146067
1,12,146294.52591747994
1,13,270517.3220147168
1,14,500365.0251876924
1,15,924562.9992334296
1,16,1705194.6287606708
1,17,3134488.0372863645
1,18,5723953.861465558
1,19,10327957.52449675
1,20,18235689.996038727
1,21,30973499.007765546
1,22,49247298.789681554
1,23,70616585.68531658
1,24,88368532.00711986
1,25,97162301.63947646
1,26,99522829.16858765
1,27,99929387.18332453
1,28,99989755.24150807
1,29,99998569.26775135
1,30,99999817.03913328
1,31,99999991.8093064
1,32,100000053.19163226
1,33,100000052.12492108
1,34,100000048.67430562
1,35,100000055.44326542
2,0,141.6004256363372
2,1,224.86202386960628
2,2,369.95798271412633
2,3,610.6714267940786
2,4,1076.5648369212554
2,5,1944.6496081388536
2,6,3535.7593732092173
2,7,6487.943749954824
2,8,11980.12378477198
2,9,22129.509223140973
2,10,40715.50927938921
2,11,75221.94914809172
2,12,139030.7708575134
2,13,256609.12104784435
2,14,474525.6732199815
2,15,876293.6760080671
2,16,1615052.701344802
2,17,2968784.353233983
2,18,5422349.388959479
2,19,9793886.592647184
2,20,17330823.4274456
2,21,29559463.20778158
2,22,47336788.537128136
2,23,68629266.04560201
2,24,87030200.28830555
2,25,96681712.17437942
2,26,99424920.04937415
2,27,99912967.08568978
2,28,99986989.00279914
2,29,99997777.15744476
2,30,99999661.44006671
2,31,99999971.47876813
2,32,100000034.34192055
2,33,100000042.99006389
2,34,100000046.10819659
2,35,100000041.18168627
3,0,141.9400741546969
3,1,216.11376122532096
3,2,367.81048489479474
3,3,634.3316019464517
3,4,1135.327977762982
3,5,2056.3172358080824
3,6,3753.635879592586
3,7,6897.0471924137855
3,8,12713.947052000167
3,9,23449.633783605124
3,10,43346.7217757014
3,11,80153.00966332259
3,12,148244.6180270907
3,13,274000.22575388337
3,14,506454.55494208937
3,15,935686.4982028196
3,16,1725169.3909329784
3,17,3170389.437602772
3,18,5788815.141689565
3,19,10443013.472418139
3,20,18427764.523252845
3,21,31267995.924488228
3,22,49636446.76173775
3,23,71008238.37431066
3,24,88618517.63200006
3,25,97247138.25101185
3,26,99537310.44238079
3,27,99929944.17890762
3,28,99989914.4057401
3,29,99998381.53862134
3,30,99999840.02436548
3,31,100000006.60667837
3,32,100000051.86410648
3,33,100000056.44468737
3,34,100000043.00260784
3,35,100000045.19021542
4,0,142.12060736199498
4,1,227.3360576803356
4,2,357.50016356461134
4,3,647.3591653360289
4,4,1126.1232224940377
4,5,2022.6584078509786
4,6,3686.157248904021
4,7,6712.316706491518
4,8,12354.328102156262
4,9,22749.494553677
4,10,42044.858576652055
4,11,77613.32937562378
4,12,143447.03003770192
4,13,265379.1907322749
4,14,490567.1663677373
4,15,905821.528222417
4,16,1669935.5364240864
4,17,3068684.091269869
4,18,5604687.605324073
4,19,10114963.800747892
4,20,17870880.609516624
4,21,30397967.211299974
4,22,48464174.20558854
4,23,69798899.1968611
4,24,87815636.74960455
4,25,96960865.17139295
4,26,99479881.18174833
4,27,99921774.1451293
4,28,99988687.63093859
4,29,99998152.80085577
4,30,99999790.1795302
4,31,100000011.82594618
4,32,100000046.34919693
4,33,100000043.81289637
4,34,100000058.00443445
4,35,100000037.88980417
5,0,146.72674132909677
5,1,222.07623166422005
5,2,372.66287446391004
5,3,626.9812470721931
5,4,1099.6835535448058
5,5,2011.3089183012469
5,6,3667.083914559668
5,7,6742.1919524488285
5,8,12361.296324180463
5,9,22814.552206623554
5,10,42203.03467242032
5,11,77971.97102010426
5,12,144265.74227154197
5,13,266668.7363138166
5,14,493249.4742970997
5,15,910837.1929171851
5,16,1679634.7868025447
5,17,3088095.107871031
5,18,5640099.572293784
5,19,10180792.182725077
5,20,17988930.49700477
5,21,30591964.973923497
5,22,48738396.61308798
5,23,70102337.254499
5,24,88029013.59899925
5,25,97045714.87676372
5,26,99499827.49071509
5,27,99925737.44922009
5,28,99989462.95615254
5,29,99998450.95431982
5,30,99999805.44622149
5,31,100000026.50664553
5,32,100000042.83492209
5,33,100000051.29254897
5,34,100000048.7352613
5,35,100000055.59342855
6,0,138.90173015327292
6,1,227.19339499979134
6,2,366.40746779305886
6,3,623.6838674336021
6,4,1109.0881171205108
6,5,1986.500261658997
6,6,3648.4755441294824
6,7,6705.324942785744
6,8,12338.85914022499
6,9,22698.67079037076
6,10,41858.25707427308
6,11,77296.8593668008
6,12,142849.1270314402
6,13,263959.601539882
6,14,487547.8970516851
6,15,900263.5154092228
6,16,1659487.0319719
6,17,3047961.661603383
6,18,5563010.334750054
6,19,10038990.80903742
6,20,17736027.53757345
6,21,30176705.977609407
6,22,48151940.32806591
6,23,69458605.84133089
6,24,87569461.76010613
6,25,96872373.58099523
6,26,99459595.73716606
6,27,99917530.2289006
6,28,99987908.11022215
6,29,99998388.63607167
6,30,99999801.06699768
6,31,100000013.13056983
6,32,100000051.2042278
6,33,100000052.03263082
6,34,100000053.70607963
6,35,100000059.08096552
7,0,143.22264877334996
7,1,214.21595945323344
7,2,346.02142004262396
7,3,601.3603235315787
7,4,1070.9381780642982
7,5,1953.0983356710055
7,6,3598.674547569011
7,7,6613.870453558149
7,8,12179.293032970869
7,9,22475.52971831312
7,10,41508.73389265924
7,11,76598.93166444065
7,12,141897.23606433265
7,13,262277.2035176266
7,14,484700.0687405154
7,15,895005.2636302429
7,16,1650255.5218317816
7,17,3033114.75140446
7,18,5540739.797595449
7,19,10002983.967128677
7,20,17684251.081859298
7,21,30116170.84518397
7,22,48097525.008138455
7,23,69431381.27221623
7,24,87577281.20110905
7,25,96878865.45003663
7,26,99464314.06419533
7,27,99920681.89695172
7,28,99988400.24898648
7,29,99998214.32798807
7,30,99999855.75485384
7,31,100000013.42309386
7,32,100000044.00267835
7,33,100000046.47697599
7,34,100000050.4082431
7,35,100000060.05437855
8,0,138.90750833705565
