serotype	breadth_pct	aligned_bases	numreads	identity_proxy_pct	aln_len_for_identity
9N/9L	99.90	1974	1376	100.00	800202
15B/15C	99.09	1957	4619	99.88	2502454
19F	98.03	1936	1546	99.72	890640
9A/9V	87.29	1724	1750	98.99	978023
22F	85.16	1682	709	99.78	407690
11A/11D	0.00	0	0	0.00	0
