query	reference	pct_identity	matches	aligned_bp
test1.fasta	test1.fasta	100.000000	1970	1970
test1.fasta	test3.fasta	NA	0	0
test1.fasta	test4.fasta	NA	0	0
test1.fasta	test5.fasta	NA	0	0
test1.fasta	test6.fasta	NA	0	0
test1.fasta	test7.fasta	NA	0	0
test3.fasta	test1.fasta	NA	0	0
test3.fasta	test3.fasta	100.000000	1965	1965
test3.fasta	test4.fasta	NA	0	0
test3.fasta	test5.fasta	NA	0	0
test3.fasta	test6.fasta	NA	0	0
test3.fasta	test7.fasta	NA	0	0
test4.fasta	test1.fasta	NA	0	0
test4.fasta	test3.fasta	NA	0	0
test4.fasta	test4.fasta	100.000000	1968	1968
test4.fasta	test5.fasta	NA	0	0
test4.fasta	test6.fasta	NA	0	0
test4.fasta	test7.fasta	NA	0	0
test5.fasta	test1.fasta	NA	0	0
test5.fasta	test3.fasta	NA	0	0
test5.fasta	test4.fasta	NA	0	0
test5.fasta	test5.fasta	100.000000	1972	1972
test5.fasta	test6.fasta	NA	0	0
test5.fasta	test7.fasta	NA	0	0
test6.fasta	test1.fasta	NA	0	0
test6.fasta	test3.fasta	NA	0	0
test6.fasta	test4.fasta	NA	0	0
test6.fasta	test5.fasta	NA	0	0
test6.fasta	test6.fasta	100.000000	1951	1951
test6.fasta	test7.fasta	NA	0	0
test7.fasta	test1.fasta	NA	0	0
test7.fasta	test3.fasta	NA	0	0
test7.fasta	test4.fasta	NA	0	0
test7.fasta	test5.fasta	NA	0	0
test7.fasta	test6.fasta	NA	0	0
test7.fasta	test7.fasta	100.000000	1960	1960
